Easy Restaurant,৪.৫,৬৪৪,1645 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ৪:০০ PM-এ বন্ধ হবে,
Food & Liquor,৪.৬,১৮৭,1610 Queen St W,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Himalayan Kitchen,৪.৭,"৬,১৬৩",1526 Queen St W,তিব্বতীয়,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Gus Tacos,৪.৬,৭৩০,1533 Queen St W,মেক্সিকান,,
Garleek Kitchen,৪.৭,৩৭৬,1500 Queen St W,এশিয়ান ফিউশন,,
The Burger's Priest,৪.৭,"১,২৮১",1120 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ২:০০ AM-এ বন্ধ হবে,
Saigon Flower Restaurant,৩.৫,১৫৯,1138 Queen St W,ভিয়েতনামি,খোলা আছে ⋅ ২:০০ AM-এ বন্ধ হবে,
The Rhino Bar & Grill Inc,৪.১,"১,৩৩৩",1249 Queen St W,গ্রিল,খোলা আছে ⋅ ২:০০ AM-এ বন্ধ হবে,
Burrito Boyz,৪.১,৯৯৭,1736 Queen St W,বুরিতো,খোলা আছে ⋅ ১১:০০ PM-এ বন্ধ হবে,
Fat Bastard Burrito Co.,৩.৫,২৪৫,1118 Queen St W,বুরিতো,,
Shangrila Tibetan & Asian Cuisine,৪.৫,৫৫০,1600 Queen St W,তিব্বতীয়,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Nunu Ethiopian Fusion,৪.৩,২৮৯,1178 Queen St W,ইথিওপীয়,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Tsampa Cafe,৪.৩,১৭১,1528 Queen St W,মোমো রেস্তোঁরা,,
Le Petit Chef,৪.৬,১৩০,291 Harbord St,রেস্তোঁরা,,
The Grill Cottage,৪.০,১৬৭,1468 Queen St W,রেস্তোঁরা,,
POKE SUSHI Takeout,৪.৬,১৪২,1405 Queen St W,টেকআউট রেস্তোঁরা,,
Sammie's Restaurant,,,1087 Queen St W,আমেরিকান,,
Then and Now Restaurant,৪.৮,৭৯,1316 Queen St W,রেস্তোঁরা,,
Daol Korean Restaurant,৪.৯,১৫৪,1345 Queen St W,কোরীয়,,
iSLAS FILIPINO BBQ & BAR,৪.৭,৬১৫,1690 Queen St W,ফিলিপিনো,বন্ধ হয়ে গেছে ⋅ ৪:০০ PM-এ খুলবে,
Hanoi Restaurant,৪.৪,৪০,1285 Queen St W,ভিয়েতনামি,,
Subway,৩.৩,৮৩,1132 Queen St W,স্যান্ডউইচ,খোলা আছে ⋅ ২:৩০ AM-এ বন্ধ হবে,
Little Tibet Restaurant,৪.২,২৫০,1449A Queen St W,তিব্বতীয়,,
Dave's Hot Chicken,৪.২,"১,২৫২",1582 Queen St W,চিকেন,খোলা আছে ⋅ ১২:০০ AM-এ বন্ধ হবে,
PG Clucks,৪.৩,২৪৫,1112 Queen St W,ফ্রায়েড চিকেন,,
Mother India Roti,৪.১,৫৮৪,1456 Queen St W,ভারতীয়,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Ali's West Indian Roti Shop,৪.৪,৯২৬,1446 Queen St W,ক্যারিবিয়ান,খোলা আছে ⋅ ৯:০০ PM-এ বন্ধ হবে,
Gold Standard Queen,৪.৫,১০২,1574 Queen St W,টেকআউট রেস্তোঁরা,,
Frankie's Diner,৪.৪,"১,২৮২",994 Queen St W,হ্যামবার্গার,খোলা আছে ⋅ ৮:০০ PM-এ বন্ধ হবে,
Hello 123,৪.৪,"১,১৩২",1122 Queen St W,ভেগেন (পশুজাত খাদ্য না খাওয়া),খোলা আছে ⋅ ৪:০০ PM-এ বন্ধ হবে ⋅ ৫:০০ PM-এ আবার খুলবে,
The Octopus Garden,৩.১,৭৪,1300 Queen St W,রেস্তোঁরা,,
Norling,৪.৪,৩৪৭,1512 Queen St W,তিব্বতীয়,,
"CiCi's Pizza & Wings, Toronto",৪.৬,৪৫৮,1596 Queen St W,পিৎজা টেকআউট,খোলা আছে ⋅ ৯:৩০ PM-এ বন্ধ হবে,
Songtsen Cafe,৪.৭,১২৪,1504 Queen St W,তিব্বতীয়,খোলা আছে ⋅ ৯:০০ PM-এ বন্ধ হবে,
Jules Bistro,৪.৪,৭০৬,924 Queen St W,ফরাসী,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Pizza Pizza,৩.৮,৪৩২,1432 Queen St W,পিৎজা,,
Cold Tea,৪.১,৬৪৭,1186 Queen St W,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ১০:০০ PM-এ খুলবে,
Le Swan,৪.৫,৬১৭,892 Queen St W,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
A And N Takeout,৪.০,২৬,1427 Queen St W,রেস্তোঁরা,,
Skadarlija Restaurant - Skada Bar,৩.৯,১৯,1608 Queen St W,গ্রিল,,
Matt’s Burger Lab,৪.৩,৫৬৭,1205 Queen St W,রেস্তোঁরা,,
The Lounge at the Drake Hotel,৪.০,১০২,1150 Queen St W,গ্রিল,,
Batibot,৪.৭,৩৫,1483 Queen St W,ফিলিপিনো,,
Noce,৪.৩,৪৯৮,875 Queen St W,ইতালীয়,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
"Paddler, Thai boat noodles",৪.৭,২৫৭,1710 Queen St W,থাই,,
The Grand Trunk,৪.৬,১২২,1718 Queen St W,বার,,
Terroni,৪.৩,"২,৫৫৮",720 Queen St W,ইতালীয়,খোলা আছে ⋅ ১০:৩০ PM-এ বন্ধ হবে,
Molkagtez Mexican Cuisine,৪.৮,২৯১,1263 Queen St W,মেক্সিকান,,
Smoque N' Bones,৪.৩,"১,৬০৬",869 Queen St W,বারবিকিউ,খোলা আছে ⋅ ১১:০০ PM-এ বন্ধ হবে,
Montgomery's Restaurant,৪.৫,১৮২,996 Queen St W,কানাডিয়ান,,
Oyster Boy,৪.৬,"১,০৮৭",872 Queen St W,সামুদ্রিক খাবার,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Tim Hortons,৩.৭,৫৬৭,1480 Queen St W,কফি শপ,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
AMPM,৩.৩,১৩৭,1566 Queen St W,রেস্তোঁরা,,
lobby,৪.৪,৮৯৫,1032 Queen St W,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ৬:০০ PM-এ খুলবে,
Azkadenya Restaurant Queen St. W.,৪.৩,৬৯৮,235 Queen St W,ভূমধ্যসাগরীয়,,
A&W Canada,৩.৯,৬৩৮,"Queen & Palmerston, 650 Queen St W",হ্যামবার্গার,২৪ ঘণ্টা খোলা,
Bernard's Pilipino Specialties,৪.২,৩৮,1534 Queen St W,ফিলিপিনো,,
Fonda Lola Mexican Bistro,৪.১,৮৪৯,942 Queen St W,মেক্সিকান,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Hugs and Sarcasm,৪.৩,৩৫০,859 Queen St W,ব্রাঞ্চ,,
Cafe Neon,৪.৩,৪০৯,1024 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ৪:০০ PM-এ বন্ধ হবে,
The Queen's End Cafe and Emporium,৪.৬,৫২,1664 Queen St W,রেস্তোঁরা,,
Momo Cafe & Zomsa Bar,৩.৯,১৫৯,1498 Queen St W,ফাস্ট ফুড,,
Chadon Beni,৪.৫,২৮৩,936 Queen St W,রেস্তোঁরা,,
Peter Pan Bistro,৪.৩,৯৭৬,373 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Nana,৪.৪,৫৪৬,785 Queen St W,থাই,বন্ধ হয়ে গেছে ⋅ ৫:৩০ PM-এ খুলবে,
Loaded Pierogi,৪.৪,৫৮৬,839 Queen St W,ফাস্ট ফুড,,
Agora Greek Market & Cafe,৪.৩,৩১৭,921 Queen St W,গ্রিক,খোলা আছে ⋅ ৮:০০ PM-এ বন্ধ হবে,
Fresh Kitchen + Juice Bar Crawford,৪.২,"১,২৭৫",894 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Legal Tenders,,,1378 Queen St W,চিকেন,,
Java House,৪.২,"১,০৮৭",537 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ২:৪৫ AM-এ বন্ধ হবে,
Bar'kada,৪.২,৪৩৩,745 Queen St W,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Thai Elephant,৪.২,৪০৫,813 Queen St W,থাই,খোলা আছে ⋅ ১১:৩০ PM-এ বন্ধ হবে,
Squirly's Bar & Grill,৪.৪,৪২৯,807 Queen St W,গ্রিল,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Zakkushi,৪.৫,৪০০,620 Queen St W,জাপানী,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Stillwater Spa,৪.০,৫২,4 Avenue Rd,ডে স্পা,,
Hooky's Fish and Chips,৪.২,৪২৩,893 Queen St W,ফিশ অ্যান্ড চিপ্স,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
SweetLulu Restaurant,৪.২,২৮৬,696 Queen St W,এশিয়ান ফিউশন,খোলা আছে ⋅ ৯:০০ PM-এ বন্ধ হবে,
Curryish Tavern,৪.৪,২২১,783 Queen St W,আধুনিক ভারতীয় রেস্তোরাঁ,,
The Wing Spot - Queen West,৪.৮,৩৩১,841 Queen St W,চিকেন উইংস,,
Frisaca Bar,৪.৫,৫১৩,592 Queen St W,মেক্সিকান,খোলা আছে ⋅ ২:০০ AM-এ বন্ধ হবে,
Sud Forno,৪.৫,"১,১৬৩",716 Queen St W,বেকারি,,
Tatsu Sushi,৪.৬,২০৭,791 Queen St W,সুসি,খোলা আছে ⋅ ৯:০০ PM-এ বন্ধ হবে,
Queen Mother Cafe,৪.৪,"১,৪৮৩",208 Queen St W,রেস্তোঁরা,খোলা আছে ⋅ ১২:০০ AM-এ বন্ধ হবে,
Edulis Restaurant,৪.৭,৪২৬,169 Niagara St,রেস্তোঁরা,বন্ধ হয়ে গেছে ⋅ ৬:০০ PM-এ খুলবে,
Karahi Boys,৪.৮,"৬,৭০০",741 Queen St W,পাকিস্তানী,,
BANGKOK QUEEN Thai Street Food,৪.৩,২৫৩,580 Queen St W,থাই,,
Roti Mahal Indian Cuisine - Best Roti In Town,৪.৮,৫২০,554 Queen St W,ভারতীয়,,
My Roti Place/My Dosa Place,৪.৫,"১,৩৪৯",406 Queen St W,রেস্তোঁরা,,
Pat's Homestyle Jamaican Restaurant,৪.৪,৬০০,558 Queen St W,জ্যামাইকান,,
PLANTA Queen,৪.৫,"২,০৭০",180 Queen St W,ভেগেন (পশুজাত খাদ্য না খাওয়া),খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
Subway,৩.৯,৬৩,843 Queen St W,স্যান্ডউইচ,খোলা আছে ⋅ ১২:০০ AM-এ বন্ধ হবে,
Osteria Du,৪.৭,২২৪,536 Queen St W,ইতালীয়,,
Ramen Misoya Toronto,৪.৩,৪৯২,646 Queen St W,রামেন নুডলস,,
Shawarma West,৪.৪,৫৭৩,746 Queen St W,ভূমধ্যসাগরীয়,,
Little Vietnam Restaurant & Bar,৪.২,২৩৯,500 Queen St W,ভিয়েতনামি,,
Clandestino,৪.৫,২৯৩,1183 Dundas St W,রেস্তোঁরা,,
Matty's Patty's,৪.১,৬৫৪,923a Queen St W,হ্যামবার্গার,খোলা আছে ⋅ ৯:০০ PM-এ বন্ধ হবে,
Mama Akua’s,,,1566 Queen St W,আফ্রিকান,,
Saffron Spice Kitchen,৪.১,৪৮৬,459 Queen St W,শ্রীলংকান,খোলা আছে ⋅ ৯:৪৫ PM-এ বন্ধ হবে,
Osmow's Shawarma,৪.১,"১,৩৭৬",611 Queen St W,শাওয়ার্মা রেস্তোরাঁ,,
Aria Sushi,৪.৮,১৯৬,626 Queen St W,সুসি,,
SAKU (sushi & taco),৪.৪,"১,৫৯৬",478 Queen St W,আধুনিক ইজাকায়া রেস্তোরাঁ,খোলা আছে ⋅ ৩:৩০ PM-এ বন্ধ হবে ⋅ ৪:৩০ PM-এ আবার খুলবে,
DROM Taberna,৪.৫,"১,৬৮১",458 Queen St W,বার,বন্ধ হয়ে গেছে ⋅ ৫:০০ PM-এ খুলবে,
Forno Cultura,৪.৬,৪৩০,1056 Queen St W,বেকারি,,
Holy Cow Japanese Steakhouse,৪.৪,৯৪৮,254 Queen St W,জাপানি স্টিকহাউস,খোলা আছে ⋅ ১০:০০ PM-এ বন্ধ হবে,
RaviSoups,৪.২,২৩৮,1128 Queen St W,সুপ,,
Miss Thing's,৪.০,"১,০৩৭",1279 Queen St W,হাওয়াইয়ান,,
Food Art Music,৪.৭,৬১,566 Queen St W,রেস্তোঁরা,,
